run_id,trial_id,arm,variant,seed,fix_status,gb_in_agent_run,gb_canonical,max_diff_compiled_vs_eager,sp_t1,sp_t2,eager_self_diff,eager_deterministic,perf_error_t1,perf_error_t2,exit_code,elapsed_s,n_files_edited,files_edited,edit_class,lines_added,lines_removed,flags
20260425-144345,debug_graph_breaks_V0_1,debug_graph_breaks,V0,1,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1230.7151975631714,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,65,42,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V0_2,debug_graph_breaks,V0,2,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,955.2528195381165,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,54,46,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V0_3,debug_graph_breaks,V0,3,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (10496) must match the size of tensor b (16128) at non-singleton dimension 1,RuntimeError: The size of tensor a (118016) must match the size of tensor b (133888) at non-singleton dimension 1,0,1301.7778315544128,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,51,32,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V2_1,debug_graph_breaks,V2,1,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (16384) must match the size of tensor b (21248) at non-singleton dimension 1,RuntimeError: The size of tensor a (118016) must match the size of tensor b (133888) at non-singleton dimension 1,0,1682.279042482376,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,70,37,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V2_2,debug_graph_breaks,V2,2,setup-required,0,6,,,,,,RuntimeError: The size of tensor a (22272) must match the size of tensor b (21248) at non-singleton dimension 1,RuntimeError: The size of tensor a (118016) must match the size of tensor b (133888) at non-singleton dimension 1,0,1499.7751178741455,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,48,34,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V2_3,debug_graph_breaks,V2,3,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1409.4831337928772,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,66,45,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V4_1,debug_graph_breaks,V4,1,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1499.473275899887,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,81,43,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V4_2,debug_graph_breaks,V4,2,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1091.642526626587,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,56,42,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V4_3,debug_graph_breaks,V4,3,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1262.327555179596,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,51,46,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V6_1,debug_graph_breaks,V6,1,general,0,0,2.0,2.240741754428826,1.4443320177253935,2.0,False,,,0,932.0248250961304,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,54,44,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V6_2,debug_graph_breaks,V6,2,general,0,0,2.0,1.8766248077254,1.4136216472575738,2.0,False,,,0,1304.3185489177704,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,60,38,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,debug_graph_breaks_V6_3,debug_graph_breaks,V6,3,general,0,0,2.0,1.6118522006938434,1.3506608397331032,2.0,False,,,0,1194.5121593475342,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,56,44,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V0_1,noskill,V0,1,setup-required,0,1,,1.098842968957487,1.177695507449207,,,,,0,1151.7528841495514,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,58,31,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V0_2,noskill,V0,2,setup-required,0,1,,1.1189035087835235,1.1830957316346298,,,,,0,1221.4276580810547,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,60,42,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V0_3,noskill,V0,3,setup-required,0,6,,1.1500201295237236,1.1476353523838703,,,,,0,992.831549167633,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,49,32,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V2_1,noskill,V2,1,setup-required,0,6,,1.0869762480120788,1.2002089903657513,,,,,0,1318.3230748176575,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,59,35,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V2_2,noskill,V2,2,setup-required,0,1,,1.1269476787972883,1.1907337348339557,,,,,0,1539.1656680107117,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,74,35,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V2_3,noskill,V2,3,setup-required,0,1,,1.1569228304774581,1.1888025966226976,,,,,0,1286.3733718395233,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,69,35,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V4_1,noskill,V4,1,setup-required,0,1,,1.1566622134320361,1.0125232444312688,,,,,0,1711.5490555763245,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,48,42,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V4_2,noskill,V4,2,setup-required,0,1,,1.140077806505131,1.302903876133478,,,,,0,1098.5031068325043,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,46,42,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V4_3,noskill,V4,3,setup-required,0,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1224.297946691513,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,58,43,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V6_1,noskill,V6,1,general,0,0,2.0,1.5312737861471843,1.515421794772781,2.0,False,,,124,1800.197125196457,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,66,50,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V6_2,noskill,V6,2,setup-required,0,6,,,,,,RuntimeError: The size of tensor a (10496) must match the size of tensor b (16128) at non-singleton dimension 1,RuntimeError: The size of tensor a (118016) must match the size of tensor b (133888) at non-singleton dimension 1,0,1140.9678688049316,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,65,33,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260425-144345,noskill_V6_3,noskill,V6,3,none,1,1,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,124,1800.0396373271942,2,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py|/tmp/discovery-runs/vits_model_train/baseline_vits.py,both,70,52,file-mutated:modeling_vits.py|file-mutated:baseline_vits.py
20260426-014253,debug_graph_breaks_V8_1,debug_graph_breaks,V8,1,general,0,0,,,,,,RuntimeError: The size of tensor a (10496) must match the size of tensor b (16128) at non-singleton dimension 1,RuntimeError: The size of tensor a (118016) must match the size of tensor b (133888) at non-singleton dimension 1,124,1800.0429637432098,1,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py,model-only,45,32,file-mutated:modeling_vits.py
20260426-014253,debug_graph_breaks_V8_2,debug_graph_breaks,V8,2,general,0,0,,,,,,,,124,1800.0516114234924,1,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py,model-only,54,32,file-mutated:modeling_vits.py
20260426-014253,debug_graph_breaks_V8_3,debug_graph_breaks,V8,3,general,0,0,,,,,,RuntimeError: The size of tensor a (8960) must match the size of tensor b (17408) at non-singleton dimension 1,RuntimeError: The size of tensor a (106496) must match the size of tensor b (122368) at non-singleton dimension 1,0,1696.3868310451508,1,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py,model-only,42,44,file-mutated:modeling_vits.py
20260426-014253,noskill_V8_1,noskill,V8,1,general,0,0,2.0,1.8280889966511291,1.563785947751346,2.0,False,,,124,1800.0461769104004,1,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py,model-only,52,46,file-mutated:modeling_vits.py|diff-promoted-post-validate
20260426-014253,noskill_V8_2,noskill,V8,2,general,0,0,2.0,1.7564486678740785,1.4612323009756534,2.0,False,,,0,1616.2704565525055,1,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py,model-only,54,47,file-mutated:modeling_vits.py
20260426-014253,noskill_V8_3,noskill,V8,3,general,0,0,,,,,,RuntimeError: The size of tensor a (10496) must match the size of tensor b (15360) at non-singleton dimension 1,RuntimeError: The size of tensor a (118016) must match the size of tensor b (133888) at non-singleton dimension 1,124,1800.0552899837494,1,/home/pengwu/envs/torch211/lib/python3.12/site-packages/transformers/models/vits/modeling_vits.py,model-only,38,31,file-mutated:modeling_vits.py
